smile,training_smile,hit,similarity
[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(N=C(C)O2)C(=O)COC(C)=O,CCCC1O[C@@H]2CC3C4CCC5=CC(=O)C=C[C@@]5(C4C(C[C@@]3([C@@]2(O1)C(=O)COC(=O)C)C)OC(=O)C)C,0,0.5697852760736196
CN\C(NCCSCC1=CSC(CN(C)C)=N1)=C\[N+]([O-])=O,CC(C)C1=CSC(=N1)CN2CCN(C(C2)CCO)CC=C(C)C,0,0.3413705583756345
Cl.CCCCOC1=CC=C(C=C1)C(=O)CCN1CCCCC1,CCCCOC1=CC=C(C=C1)C(=O)CCN2CCCCC2.Cl,0,1.0
C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN,0,1.0
[H][C@@](C(C)C)(N(CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1)C(=O)CCCC)C(O)=O,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@@H](C(C)C)C(=O)O,0,1.0
OCCN(CCO)C1=NC2=C(N=C(N=C2N2CCCCC2)N(CCO)CCO)C(=N1)N1CCCCC1,C1CCN(CC1)C2=NC(=NC3=C2N=C(N=C3N4CCCCC4)N(CCO)CCO)N(CCO)CCO,0,1.0
NC(=O)NO,C1=CC=C(C=C1)CONC(=O)N,0,0.145985401459854
[K+].[I-],C1=CC=C(C=C1)N2C(=O)C3C(C2=O)C(=NC3C4=CC=CC=N4)C5=C(C6=CC=CC=C6C5=O)O,1,0.0
Cl.[H][C@]12CC[C@]([H])(CC(C1)OC(=O)C1C=NC3=CC=CC=C13)N2C,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C3C=NC4=CC=CC=C34.Cl,0,1.0
NC(=O)C1=CC=CN=C1,C1=CC(=CN=C1)C(=O)N,0,1.0
