smiles	cid
CN1C2CCC1CC(C2)OC(c1ccc(F)cc1)c1ccc(F)cc1	3929516
C[C@]12CCC3[C@@H](CC[C@@H]4C[C@H](O)CC[C@]34C)[C@@H]1CCC2=O	6420080
NC(=O)c1cccc(N)c1	1645
OCCCNc1ccccc1	410467
C=CCN1CCN(CC1)c1nc2ccccc2nc1C#N	3073499
[O-][N+](=O)c1cccc2c(Br)n[nH]c12	1649
CC1(C)C2CCC1(C)C(=O)C2Br	6438
OC(=O)C(=O)CBr	70684
N[C@@H](C(O)=O)c1ccc(O)c(c1)C(O)=O	6604713
N[C@H](C(O)=O)c1ccc(O)c(c1)C(O)=O	5311460
CN1C2CCC1CC(C2)OC(c1ccccc1)c1ccc(Cl)cc1	1687
Nc1nccc2n(cnc12)[C@@H]1O[C@H](CO)C(O)C1O	44386188
Nc1nccc2n(cnc12)[C@@H]1C=C(CO)[C@@H](O)[C@H]1O	73087
OCC1OC(C(O)C1O)N1C=CC(=O)CC1=O	277822
CCC(O)(CC(N)=O)c1ccccc1	64814
OC(=O)CCCc1c[nH]c2ccccc12	8617
Cc1cc(sc1C(N)C(O)=O)C(O)=O	10398360
CC(CN)CC(O)=O	3539719
Cn1cnc(=N)c2nc[nH]c12	135398661
COc1ccccc1N1CCN(CCn2c(=O)[nH]c3c4ccccc4[nH]c3c2=O)CC1	4013695
Clc1cccc(c1)\C=N\N=C\c1cccc(Cl)c1	6861557
C(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12	3071
NC(C(O)=O)c1ccc(C(O)=O)c(c1)C(O)=O	3313698
N[C@@H](C(O)=O)c1ccc(C(O)=O)c(c1)C(O)=O	6604849
N[C@H](C(O)=O)c1ccc(C(O)=O)c(c1)C(O)=O	16062593
N[C@H](C(O)=O)c1cc(O)cc(O)c1	443586
Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CN(Cc1cccc(F)c1)C2=O)c1ccccc1	3248000
O=C(\C=C\c1cccnc1)c1ccncc1	5720233
Fc1ccc(cc1)C(=O)C1CCN(CCCCc2ccccc2)CC1	5234410
CC(=O)N1CC[N+](C)(C)CC1	4392675
Nc1ccc(cc1)C(=O)NCC(O)=O	2148
NC(C(O)=O)c1ccc(C(O)=O)c(O)c1	1297
N[C@H](C(O)=O)c1ccc(C(O)=O)c(O)c1	5311455
NC(=N)Nc1ccc(Cl)cc1	2757788
CC(C)C(C(=O)Nc1nccs1)c1ccc(Cl)cc1	4307629
C[N+]1(C)CCC(CC1)OC(=O)C(c1ccccc1)c1ccccc1	1734
OC[C@H]1O[C@@H](O[C@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O	10874809
Oc1ncnc2ccccc12	135408753
Cc1c(O)c(=O)n(-c2ccccc2)n1C	98889
Ic1ccc(cc1)C(=O)NC1CCN(Cc2ccccc2)CC1	132995
Ic1cc(ncn1)-c1ccccc1	817368
N[C@H](Cc1ccc(I)cc1)C(O)=O	2733279
COc1ccc(cc1)-c1coc2cc(O)cc(O)c2c1=O	5280373
Cc1nc[nH]c1CCN	37463
Cc1cc(=O)oc2c(C=O)c(O)ccc12	12934390
CCC(=O)NC1CC(c2ccccc2)c2ccccc2C1	3976006
Oc1ccc(cc1)S(O)(=O)=O	4765
Cl.C1NCc2ccccc2C1c1ccccc1	12999296
C(CCc1ccccc1)CN1CCC(CC1)c1ccccc1	3035672
CCCc1ccc(cc1)C(O)=O	137601
N#Cc1ccncn1	10313094
CC(C)(C)c1ccc(O)cc1	7393
C1CCC2(CC1)CCNCC2	417412
Clc1ccc(cc1)C(c1ccc(Cl)cc1)C(Cl)(Cl)Cl	3036
Brc1c(Br)c(Br)c2[nH]nnc2c1Br	1694
NS(=O)(=O)c1ccc2NC(C3CC=CC3c2c1)c1ccc(Br)cc1	2857838
OC(=O)c1ccc(cc1)N1C(=O)C(\C=C1c1ccccc1)=C\c1ccc(o1)-c1ccc(cc1)[N+]([O-])=O	16195554
OC(=O)C(\Cc1ccccc1[N+]([O-])=O)=N\Nc1nc(cs1)-c1ccc(Cl)c(Cl)c1	5717952
Cn1cc(cn1)-c1ccc(cc1)S(=O)(=O)n1ccc(\C=C\C(=O)Nc2ccccc2N)c1	15985904
CCn1c(O)nnc1-c1ccc(Cl)cc1	35793
Nc1nc2n([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c(=O)sc2c(=O)[nH]1	135409474
NCC(=O)CCC(O)=O	137
Brc1cccc(c1)C1=NCC(=O)Nc2c1oc1ccccc21	9841560
NCCc1c[nH]c2ccc(cc12)C(N)=O	1809
OCc1cncc(F)c1	152449
Fc1c[nH]c(=O)[nH]c1=O	3385
Oc1ncc(F)cn1	101498
OCc1ccc(C=O)o1	237332
O[C@H]1CNC(=C)N[C@@H]1C(O)=O	129010107
CC(C)N(CC[C@H](c1ccccc1)c1cc(CO)ccc1O)C(C)C	9819382
NC(Cc1c[nH]c2ccc(O)cc12)C(O)=O	144
Ic1cncc(OC[C@@H]2CCN2)c1	6604876
Cc1ccc(C[N+](C)(C)C)o1	4141
C[C@H]1NC(=O)NC1=O	1615267
C[C@@H]1NC(=O)NC1=O	6419931
OC(=O)c1cc(O)c2c(Cl)cc(Cl)cc2n1	1779
COc1ccc(cc1)C1Oc2c(CC=C(C)C)c(O)cc(O)c2C(=O)C1=O	9969271
O[C@@H]1[C@@H](CCl)O[C@H]([C@@H]1O)n1cnc2c(NC3CC4CCC3C4)ncnc12	42636897
Nc1cc2c3ccccc3ccc2c2ccccc12	17534
CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(O)=O	11082
N(Cc1ccccc1)c1ncnc2nc[nH]c12	62389
COc1cc2c(CCNC(C)=O)c[nH]c2cc1Cl	1858
CCCCCCCCC(=O)NCc1cc(OC)c(O)cc1I	5149140
CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O	200136
CC(=O)OCC1=C(N2[C@H](SC1)[C@H](N)C2=O)C(O)=O	441328
OC(=O)c1cc(O)c2ccc(Cl)cc2n1	1884
CCCN(CCC)C1CCc2ccc(O)cc2C1	1219
CCCN(C\C=C\I)C1CCc2ccc(O)cc2C1	6305587
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4[C@H](O)NC(=O)c4c4c5ccccc5n2c4c13	3078519
CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CCC4=O)[C@@H]3C(=O)C=C2C1	9798229
COc1ccc2nc3CCCCc3c(N)c2c1	119053
Cn1cnc2nc(O)nc(O)c12	68374
[O-][N+](=O)c1cccc2cn[nH]c12	1893
O=C1N2CCCCC=C2Nc2ccccc12	
Nc1ncnc2n([C@@H]3O[C@@H]4COP(O)(=O)O[C@H]4[C@H]3O)c(Br)nc12	32014
Nc1nc(O)c2nc(Br)n([C@@H]3O[C@@H]4COP(O)(=O)O[C@H]4[C@H]3O)c2n1	135419186
CCCN(CCC)C1CCc2cccc(O)c2C1	1220
CCCN(C\C=C\I)C1CCc2cccc(O)c2C1	6142670
CCC(=O)NC1CCc2cccc(OC)c2C1	5170952
Cc1oc(=O)oc1CCl	9855518
Nc1c2ccccc2nc2ccccc12	7019
