PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Repeated sucessfully (out of two attempts)
RESULT_TYPE,,,,,,,STRING
RESULT_UNIT,,,,,,,NONE
232,17387133,1760568,Inactive,10,,,
233,17387315,6872889,Inactive,10,,,
234,17387363,842644,Inactive,10,,,
235,17387893,995088,Inactive,10,,,
236,17388143,1379458,Inactive,10,,,
237,17388162,1450447,Inactive,10,,,
238,17388348,9615178,Inactive,10,,,
239,17388421,4779931,Inactive,10,,,
240,17401468,1001133,Inactive,10,,,
241,17401591,6869993,Inactive,10,,,
242,17406800,7285520,Inactive,10,,,
243,17407150,11958451,Inactive,10,,,
244,17407555,135436050,Inactive,10,,,
245,17407812,11958713,Inactive,10,,,
246,17408515,5447484,Inactive,10,,,
247,17408584,717708,Inactive,10,,,
248,17409134,716780,Inactive,10,,,
249,17409212,624107,Inactive,10,,,
250,17409512,1480923,Inactive,10,,,
251,17409921,1477665,Inactive,10,,,
252,17410498,1490269,Inactive,10,,,
253,17410806,3775621,Inactive,10,,,
254,17411522,1479257,Inactive,10,,,
255,17411644,9566843,Inactive,10,,,
256,17412677,801955,Inactive,10,,,
257,17413218,1864673,Inactive,10,,,
258,17413737,2255475,Inactive,10,,,
259,17413971,976459,Inactive,10,,,
260,17414340,1262012,Inactive,10,,,
261,17414785,887037,Inactive,10,,,
262,17414798,2876424,Inactive,10,,,
263,17415547,2896669,Inactive,10,,,
264,17431571,1422298,Inactive,10,,,
265,17431646,787868,Inactive,10,,,
266,17431714,2273638,Inactive,10,,,
267,17431730,2866345,Inactive,10,,,
268,17432084,2959898,Inactive,10,,,
269,17432107,2958650,Inactive,10,,,
270,17432256,5390233,Inactive,10,,,
271,17432261,2963841,Inactive,10,,,
272,17432509,135425029,Inactive,10,,,
273,17432516,135425030,Inactive,10,,,
274,17432631,2836853,Inactive,10,,,
275,17432644,135425037,Inactive,10,,,
276,17432669,2921187,Inactive,10,,,
277,17432694,5717122,Inactive,10,,,
278,17432783,2945579,Inactive,10,,,
279,17432799,980571,Inactive,10,,,
280,17432962,2968829,Inactive,10,,,
281,17433121,2984065,Inactive,10,,,
282,17433280,147560,Inactive,10,,,
283,17433323,748047,Inactive,10,,,
284,17433380,2289022,Inactive,10,,,
285,17433551,2897727,Inactive,10,,,
286,17433663,2057784,Inactive,10,,,
287,17433747,2929633,Inactive,10,,,
288,17433751,5333818,Inactive,10,,,
289,17433770,135421695,Inactive,10,,,
290,17433799,2939958,Inactive,10,,,
291,17433939,951614,Inactive,10,,,
292,17503809,135497920,Inactive,10,,,
293,17503873,3108106,Inactive,10,,,
294,17503929,135497925,Inactive,10,,,
295,17504025,135466643,Inactive,10,,,
296,17504085,781246,Inactive,10,,,
297,17504175,9685271,Inactive,10,,,
298,17504314,12004489,Inactive,10,,,
299,17504464,12004514,Inactive,10,,,
300,17504502,6889494,Inactive,10,,,
301,17504648,999758,Inactive,10,,,
302,17505042,135444136,Inactive,10,,,
303,17505093,135497974,Inactive,10,,,
304,17505136,9591065,Inactive,10,,,
305,17505284,1213400,Inactive,10,,,
306,17505336,1136282,Inactive,10,,,
307,17505390,135497985,Inactive,10,,,
308,17505547,1389181,Inactive,10,,,
309,17505593,4885837,Inactive,10,,,
310,17505737,135497998,Inactive,10,,,
311,17505776,3813131,Inactive,10,,,
312,17505782,2271808,Inactive,10,,,
313,17505934,1847491,Inactive,10,,,
314,17506143,1938572,Inactive,10,,,
315,17506248,760036,Inactive,10,,,
316,17506269,1561718,Inactive,10,,,
317,17506344,844451,Inactive,10,,,
318,17506409,5736971,Inactive,10,,,
319,17506744,9587569,Inactive,10,,,
320,17506970,135498020,Inactive,10,,,
321,17507183,135458767,Inactive,10,,,
322,17507342,5441374,Inactive,10,,,
323,17507359,5440144,Inactive,10,,,
324,17507426,6185375,Inactive,10,,,
325,17507573,2876499,Inactive,10,,,
326,17507617,3144953,Inactive,10,,,
327,17507942,749095,Inactive,10,,,
328,17508079,135427759,Inactive,10,,,
329,17508203,3090189,Inactive,10,,,
330,17508311,578058,Inactive,10,,,
331,17508334,2921716,Inactive,10,,,
332,17508364,3201534,Inactive,10,,,
333,17508368,5892192,Inactive,10,,,
334,17508497,5439786,Inactive,10,,,
335,17508499,3159585,Inactive,10,,,
336,17508541,6370872,Inactive,10,,,
337,17508565,135477763,Inactive,10,,,
338,17508598,3185139,Inactive,10,,,
339,17508619,5441368,Inactive,10,,,
340,17508699,3138755,Inactive,10,,,
341,17508912,1435093,Inactive,10,,,
342,17508973,9594209,Inactive,10,,,
343,17509052,1914872,Inactive,10,,,
344,17509075,3138348,Inactive,10,,,
345,17509095,2893685,Inactive,10,,,
346,17509184,844036,Inactive,10,,,
347,17509466,3546772,Inactive,10,,,
348,17509766,7289711,Inactive,10,,,
349,17510126,3463345,Inactive,10,,,
