smiles	cid
CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F	3397
[Na+].CC(C)N1C(\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)=C(C2=C1C=CC=C2)C1=CC=C(F)C=C1	23663976
CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1	5329
CC1=NOC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1C	5344
[Cl-].CN(C)C1=CC=C(C=C1)C(C1=CC=C(C=C1)N(C)C)=C1C=CC(C=C1)=[N+](C)C	11057
OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1	3559
O=C1C(C(=O)C2=CC=CC=C12)C1=CC=CC=C1	4760
[H][C@@]12C[C@@H](O)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C	31307
CCOC1=NC2=CC=CC(C(=O)OCC3=C(C)OC(=O)O3)=C2N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NC(=O)ON1	135409642
Cl.CC(C1=CNC=N1)C1=C(C)C(C)=CC=C1	68601
COCCCN1CCC(CC1)NC(=O)C1=CC(Cl)=C(N)C2=C1OCC2	3052762
O=C1CCC2=C(N1)C=CC(OCCCCC1=NN=NN1C1CCCCC1)=C2	2754
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(F)C(=O)NC1=O	5790
FC1=CN([C@H]2CCCO2)C(=O)NC1=O	288216
ClCCNP1(=O)OCCCN1CCCl	3690
[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C=C(C)C2=CC(=O)CC[C@]12C	11683
S=C1N=CNC2=C1NC=N2	667490
CN(N=O)C(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O	29327
CC1=CCC\C(C)=C\[C@H]2OC(=O)C(=C)[C@@H]2CC1	6436243
[H][C@@]12C[C@@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C	5743
CS(O)(=O)=O.COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N1CCN(CC1)C(=O)C1COC2=C(O1)C=CC=C2	62978
CCC1=CC=CC2=C1NC1=C2CCO[C@]1(CC)CC(O)=O	667528
CCOC(=O)C1=CN=CN1C(C)C1=CC=CC=C1	36339
OC(CN1C=NC=N1)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1	3365
CCOC(=O)C1=C2CN(C)C(=O)C3=CC(F)=CC=C3N2C=N1	3373
Cl.CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1	62857
OC(=O)\C=C\C(O)=O.CCOC(=O)NC1=C(N)N=C(NCC2=CC=C(F)C=C2)C=C1	6536833
COC1=C2N(C=C(C(O)=O)C(=O)C2=CC(F)=C1N1CCNC(C)C1)C1CC1	5379
OC1=CC=C(C=C1)C1=COC2=C(C(O)=CC(O)=C2)C1=O	5280961
CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O	
CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1	3883
CC[C@H](N1CCCC1=O)C(N)=O	5284583
CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2	3957
CN(C)CCN1C(=O)C2=CC(N)=CC3=CC=CC(C1=O)=C23	50515
COC1=CC(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1C	5284513
[H][C@@]12C=C[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]	3033968
[H][C@@]12C[C@]1([H])[C@@]1([H])[C@]3([H])[C@]4([H])C[C@]4([H])[C@@]4(CCC(=O)O4)[C@@]3(C)CC[C@]1([H])[C@@]1(C)CCC(=O)C=C21	68873
CC(C)[C@H](N1CCCNC1=O)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)CC1=CC=CC=C1	92727
CC(O)C1C2C(C)C(SC3CNC(C3)C(=O)N(C)C)=C(N2C1=O)C(O)=O	3874387
Cl.CN1CCN2C(C1)C1=C(CC3=C2C=CC=C3)C=CC=C1	68551
OC(=O)CC(O)(CC(O)=O)C(O)=O.CCOC1=CC(N)=C(Cl)C=C1C(=O)NCC1CN(CC2=CC=C(F)C=C2)CCO1	119583
CS(O)(=O)=O.CS(O)(=O)=O.NC(=N)NC1=CC=C(C=C1)C(=O)OC1=CC2=C(C=C1)C=C(C=C2)C(N)=N	5311180
Cl.Cl.COC1=CC=CC=C1N1CCN(CC(O)COC2=C3C=CC=CC3=CC=C2)CC1	11957660
COC1=CC=C2NC(=NC2=C1)S(=O)CC1=C(C)C(OC)=C(C)C=N1	4594
Cl.CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2	68647
OC(CC(O)=O)C(O)=O.CN1CCC(CC1)=C1C2=C(CCC3=C1C=CC=C3)SC=C2	168993
OC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1	445154
[Br-].[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)[C@H](C[C@]12C)N1CCOCC1)[N+]1(CC=C)CCCC1	441351
OC(=O)\C=C\C(O)=O.CC(C)OC(=O)OCOP(=O)(CO[C@H](C)CN1C=NC2=C1N=CN=C2N)OCOC(=O)OC(C)C	6398764
C[C@H](CN1C=NC2=C(N)N=CN=C12)OCP(O)(O)=O	464205
[H][C@@]12CC3=C(C(O)=C(NC(=O)CNC(C)(C)C)C=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2	
[H][C@]12O[C@]11CC[C@@]3([H])[C@]4([H])CC[C@H](O)[C@@]4(C)CC[C@]3([H])[C@@]1(C)CC(C#N)=C2O	656583
[Br-].[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](OC(C)=O)[C@H](C[C@]12C)N1CCCCC1)[N+]1(C)CCCCC1	39764
CCNC(=O)CCC\C=C/C[C@H]1[C@@H](O)C[C@H](O)[C@@H]1\C=C\C(O)CCC1=CC=CC=C1	46930987
CC(=O)NC[C@H]1CN(C(=O)O1)C1=CC=C(N2CCOCC2)C(F)=C1	441401
Cl.COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N(C)CCCNC(=O)C1CCCO1	71764
OS(O)(=O)=O.COC(=O)[C@@H](N1CCC2=C(C1)C=CS2)C1=C(Cl)C=CC=C1	115366
Cl.NCC(=O)CCC(O)=O	123608
Cl.Cl.COC1=CC=CC=C1OCC(O)CN1CCN(CC(=O)NC2=C(C)C=CC=C2C)CC1	71279
CCOC1=C(C=CC(CC(=O)N[C@@H](CC(C)C)C2=CC=CC=C2N2CCCCC2)=C1)C(O)=O	65981
COC1=C(OC2CCCC2)C=C(C=C1)C1CNC(=O)C1	5092
OC(=O)CC(O)(CC(O)=O)C(O)=O.CCCC1=NN(C)C2=C1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(C)CC1	135413523
OC(=O)CCC(O)=O.CNS(=O)(=O)CC1=CC=C2NC=C(CCN(C)C)C2=C1	59772
[Na+].CN1C2=C(C=CC=C2)C(NCCCCCCC([O-])=O)C2=CC=C(Cl)C=C2S1(=O)=O	23663953
CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1	5284627
COC1=C(OC)C=C(\C=C\C(=O)NC2=CC=CC=C2C(O)=O)C=C1	5282230
Cl.COC1=CC=C(C=C1)C(CN(C)C)C1(O)CCCCC1	62923
C[C@@H](C1=NC=NC=C1F)[C@](O)(CN1C=NC=N1)C1=CC=C(F)C=C1F	71616
CC(N(O)C(N)=O)C1=CC2=CC=CC=C2S1	60490
Cl.ClC1=CC2=C(CC(=O)N2)C=C1CCN1CCN(CC1)C1=NSC2=C1C=CC=C2	219099
NS(=O)(=O)CC1=NOC2=CC=CC=C12	5734
CN1C=NC=C1[C@@](N)(C1=CC=C(Cl)C=C1)C1=CC2=C(C=C1)N(C)C(=O)C=C2C1=CC(Cl)=CC=C1	159324
CC1=NC(C(=O)NCC(O)=O)=C(O)C2=C1C=C(OC1=CC=CC=C1)C=C2	11256664
[H][C@@]12CC[C@H]([C@H](C)CCCC(C)(C)O)[C@@]1(C)CCC\C2=C/C=C1/C[C@@H](O)C[C@H](O)C1=C	5280453
[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1/C[C@@H](O)C[C@H](O)C1=C)[C@H](C)\C=C\[C@@H](C)C(C)C	46931009
[H][C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CCC\C2=C\C=C1/C[C@@H](O)C[C@H](O)C1=C	5284515
Cl.[H][C@]12CN(C[C@@]1([H])NCCC2)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1OC)C(O)=O	101526
CS(O)(=O)=O.C[C@H](NCC1=CC=C(OCC2=CC(F)=CC=C2)C=C1)C(N)=O	3038502
COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C	25154714
COC1=C(OCCCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C=CC(=C1)C(C)=O	71360
COC1=CC=C(C=C1)S(=O)(=O)N(C(C)=O)C1=C(\C=C\C2=CC=[N+]([O-])C=C2)C=CC=C1	9888590
Cl.CNS(=O)(=O)CCC1=CC=C2NC=C(C3CCN(C)CC3)C2=C1	60875
CN1CCN(CC2=C(C=C(NC(=O)C3=CC(C#CC4=CN=C5C=CC=NN45)=C(C)C=C3)C=C2)C(F)(F)F)CC1	24826799
NC1=NC(F)=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O	657237
[H][C@@]12C[C@H](C)[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C	9782
COC1=C(C)C2=C(C(=O)OC2)C(O)=C1C\C=C(/C)CCC(=O)OCCN1CCOCC1	5281078
CN1C2=C(N(CC(O)CO)C=N2)C(=O)N(C)C1=O	3182
C[C@H]1[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C2=CSC(N)=N2)C(=O)N1S(O)(=O)=O	5742832
[H][C@]12CC3=C(NC4=C3C=CC=C4)[C@H](N1C(=O)CN(C)C2=O)C1=CC=C2OCOC2=C1	110635
CCC1NC(=O)C([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C	6435893
O1N2C=CC=CC2=[S][Zn]11ON2C=CC=CC2=[S]1	3005837
Cl.CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C1=CC=CC=C1	55480
Br.NC(=O)C([C@@H]1CCN(CCC2=CC=C3OCCC3=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1	444030
O=C1NC(=S)NC=C1	1269845
CC(C)COC1=C(C=C(C=C1)C1=NC(C)=C(S1)C(O)=O)C#N	134018
CCOC1=CC=C(CC2=CC(=CC=C2Cl)[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1	9887712
COC1=CC=C(C=C1)C1=NC2=CC(=CC=C2N1)C1=NNC(=O)CC1C	4823
[H][C@]12C[C@@H](O[C@]3([H])O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2	5280965
Cl.CN1CCCC(CC1)N1N=C(CC2=CC=C(Cl)C=C2)C2=CC=CC=C2C1=O	54360
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC	84029
[Na+].[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C([O-])=O	23663979
CC1=C(N=C(NC(=O)C2(CC2)C2=CC3=C(OC(F)(F)O3)C=C2)C=C1)C1=CC=CC(=C1)C(O)=O	16678941
NC1=C2C(=O)N(C3CCC(=O)NC3=O)C(=O)C2=CC=C1	134780
