smile,training_smile,hit,similarity
OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)C1C(=O)C(C(=O)\C=C\c2ccc(O)cc2)C(=O)C(O)([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C1=O,CCOC(=O)C1C(C(C(CC1=O)(C)O)C(=O)OCC)/C=C/C2=CC=CC=C2,0,0.5440860215053763
OCCOC(=O)c1ccccc1O,C1=CC=C(C(=C1)C(=O)OCCCOC(=O)C2=CC=CC=C2O)O,0,0.8445121951219512
CC(C)(O)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,0,0.9202127659574468
NCC(O)(CS(O)(=O)=O)c1ccc(Cl)cc1,CC(CS(=O)(=O)CC1=CC=CC=C1)(C2=CC=C(C=C2)Cl)O,0,0.5046583850931677
OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=N)N[C@H]12,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2,0,0.7428087986463621
OC(=O)CNC(=O)c1ccccc1I,CCOC(=O)CNC(=O)C1=CC=CC=C1,0,0.5898123324396782
COc1ccc2[nH]c(I)c(CCNC(C)=O)c2c1,CN(C)CCC1=CNC2=C1C=C(C=C2)OC,0,0.7334254143646409
COc1cc2[C@H]3CC[C@]4(C)[C@@H](O)CC[C@H]4[C@@H]3CCc2cc1O,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=C(C=C34)OC)O,0,1.0
Cc1[nH]c2ccc(O)cc2c1CCN,CC1=C(C2=C(N1)C=CC(=C2)OCC3=CC=CC=C3)CCN.Cl,0,0.8431952662721893
Cc1ccc(cc1O)[N+]([O-])=O,COC1=C(C=CC(=C1)[N+](=O)[O-])N,0,0.521505376344086
Cc1ncc[nH]1,CCC1=NC=C(N1)C,0,0.3445378151260504
CCCCCCCCCCC(CO)CCCCCCCC,CC1CC(CC(C1)CO)CN,0,0.5294117647058824
CCCCCCCC\C=C/CCCCCCCC(=O)OC(CO)CO,CCCCCCCC(=O)OCC(CO)O,0,0.6170212765957447
OC(=O)CCC(=O)C(O)=O,COC(=O)CCC(=O)CN.Cl,0,0.3708609271523179
CC(=O)C(O)=O,C(CC(=O)O)CN,0,0.3793103448275862
COc1ccc2[nH]c(c(CCNC(C)=O)c2c1)-c1ccccc1,CCNC(=O)C(=O)C1=C(NC2=CC=CC=C21)C3=CC=CC=C3,0,0.7060439560439561
O=C1Nc2ccccc2C2=NC(CN3CCN(CC3)c3ccccc3)CN12,C1CC(OC1)CNC(=O)CSC2=NC3=CC=CC=C3C4=NC(C(=O)N42)CC(=O)N5CCN(CC5)C6=CC=CC=C6,0,0.5573465592064476
NCCc1ccccn1,CNCCC1=CC=CC=N1.Cl,0,0.8674698795180723
Oc1ccc(\C=C(/C#N)C(=O)OCCc2cccs2)cc1O,CCOC(=O)/C(=C\C1=CC(=C(C=C1)O)OC)/C#N,0,0.6833046471600689
